Address,BHK,Super Area(SQFT),Floor,Bathroom,Facing,Ownership,Transaction,Status,Price(Lakh),Price per SQFT,Garden/Park,Main Road,Pool,Price Level
Eastern Metropolitan Bypass,3,2100,8,3,Unknown,Unknown,Resale,Ready to Move,265,12619,0,0,0,Mid
Jodhpur Park,3,1000,1,2,South - East,Freehold,Resale,Ready to Move,85,6538,1,0,0,Low
New Town,3,1670,3,2,Unknown,Unknown,Resale,Ready to Move,120,7186,0,0,0,Low
Ghola,2,764,0,1,West,Co-operative Society,Resale,Ready to Move,19,2487,0,1,0,Low
Topsia,3,1675,7,3,Unknown,Unknown,Resale,Ready to Move,165,9851,0,0,0,Mid
Rajarhat,2,847,1,2,South,Freehold,New Property,Ready to Move,34,4014,1,0,0,Low
Barrackpore Trunk Road,3,1633,6,3,Unknown,Unknown,Resale,Ready to Move,140,8573,0,0,0,Low
Kaikhali Bo,3,1357,2,2,Unknown,Freehold,Resale,Ready to Move,60,4422,1,0,0,Low
Charu Chandra Avenue,3,720,1,2,South - East,Freehold,Resale,Ready to Move,85,11805.5555555556,0,1,0,Low
Kolkata,2,540,3,2,Unknown,Freehold,Resale,Ready to Move,21,3360,0,1,0,Low
New Town,2,792,1,2,South,Freehold,Resale,Unknown,57,7197,1,1,0,Low
Rajarhat,3,880,4,2,North,Freehold,Resale,Ready to Move,47,4336,1,0,0,Low
Nabapally Barasat,3,1146,1,2,South - East,Freehold,Resale,Ready to Move,38.5,3360,0,0,0,Low
Nayabad,2,619,4,2,East,Freehold,Resale,Ready to Move,55,6659,0,1,0,Low
New Town,3,1055,5,2,South - East,Co-operative Society,Resale,Ready to Move,95,7202,1,1,1,Low
Action Area 1,2,920,7,2,South - East,Co-operative Society,Resale,Ready to Move,115,10000,0,1,0,Low
Silpara,2,740,2,2,South,Freehold,Resale,Ready to Move,24.5,3311,0,1,0,Low
New Alipore,4,1670,1,3,West,Freehold,Resale,Ready to Move,280,12174,1,1,1,Mid
Eastern Metropolitan Bypass,4,1356,8,3,South -West,Freehold,Resale,Ready to Move,330,15508,1,1,1,Mid
Bansdroni Mauza,2,750,0,1,Unknown,Unknown,Resale,Ready to Move,32.5,4276,0,0,0,Low
Block N New Alipore,3,1700,2,2,South - East,Freehold,Resale,Ready to Move,210,10500,0,1,0,Mid
Behala,1,455,4,1,South,Freehold,Resale,Ready to Move,33,6322,0,0,0,Low
Bramhapur,2,750,0,1,Unknown,Unknown,Resale,Ready to Move,31,4133,0,0,0,Low
New Town,3,1120,4,2,South - East,Co-operative Society,Resale,Ready to Move,83,5929,0,1,0,Low
Diamond City West,3,1565,13,3,South - East,Freehold,Resale,Ready to Move,145,7413,1,1,1,Low
Haltu,2,760,2,2,South - East,Freehold,Resale,Ready to Move,27.5,3618,0,1,1,Low
Lake Town,2,720,3,2,East,Freehold,Resale,Ready to Move,32.5,4514,0,0,0,Low
Barrackpore Trunk Road,3,1698,18,3,Unknown,Unknown,New Property,Ready to Move,195,11484,1,1,1,Mid
Kaikhali,3,1015,4,2,Unknown,Unknown,Resale,Ready to Move,37,3645,0,0,0,Low
Howrah,3,1280,7,3,Unknown,Unknown,Resale,Ready to Move,85,6641,0,0,0,Low
Ganguly Bagan,2,518,0,2,Unknown,Unknown,Resale,Ready to Move,250,40453,0,0,0,Mid
Bardhanpalli,2,445,2,2,Unknown,Power Of Attorney,Resale,Ready to Move,23.9,3299,0,0,0,Low
Tollygunge,3,1050,8,2,Unknown,Unknown,Resale,Ready to Move,72,6857,0,0,0,Low
Belghoria,2,580,4,2,East,Freehold,Resale,Ready to Move,25.8,3225,0,1,0,Low
Kasba,4,1190,2,3,South - East,Freehold,Resale,Ready to Move,100,7143,0,1,0,Low
Picnic Garden Road,2,550,1,2,South - East,Freehold,Resale,Ready to Move,21,3500,0,0,0,Low
Ramlal Bazar,2,700,3,2,South -West,Unknown,Resale,Ready to Move,27,3857,0,0,0,Low
Nayabad,3,863,2,3,East,Freehold,Resale,Ready to Move,66.5,5437,1,0,0,Low
Usha Park,2,610,2,2,North - West,Freehold,Resale,Ready to Move,35,4587,0,1,0,Low
Bijoygarh,3,950,3,2,North,Freehold,Resale,Ready to Move,70,5833,1,1,0,Low
Narendrapur Rajpur Sonarpur,2,675,1,2,East,Freehold,Resale,Ready to Move,34,4000,1,1,0,Low
Rajarhat,2,800,11,2,South - East,Freehold,Resale,Ready to Move,62,6250,1,1,1,Low
VIP Service Road,4,2100,1,3,North - West,Freehold,New Property,Ready to Move,110,4614,1,0,1,Low
Rajarhat,3,1435,2,2,Unknown,Freehold,Resale,Ready to Move,175,12195,0,0,0,Mid
Budge Budge,3,1058,1,2,North,Freehold,New Property,Ready to Move,39,3686,0,1,0,Low
New Town,2,693,4,2,South -West,Freehold,Resale,Ready to Move,45,4688,1,0,0,Low
Dum Dum Park,4,1700,1,3,Unknown,Unknown,Resale,Ready to Move,83,4882,0,0,0,Low
North Dumdum,3,1017,2,2,South -West,Unknown,Resale,Ready to Move,55,5408.06293018682,0,0,0,Low
Phool Bagan Kankurgachi,3,1050,4,2,North,Freehold,Resale,Ready to Move,103,9809.52380952381,0,0,0,Low
Paschim Nisch,2,765,2,2,Unknown,Power Of Attorney,Resale,Ready to Move,28,3522,1,1,0,Low
Maheshtala,3,1337,11,2,Unknown,Power Of Attorney,Resale,Ready to Move,44,3291,1,1,1,Low
Behala,3,1403,2,2,East,Freehold,Resale,Ready to Move,85,6058,0,1,0,Low
Neogipara,2,926,4,3,East,Freehold,New Property,Ready to Move,45,3886,0,0,1,Low
Topsia,3,1504,5,3,South - East,Freehold,Resale,Ready to Move,310,13753,1,1,0,Mid
Serampore,3,1018,2,2,Unknown,Unknown,Resale,Ready to Move,34,3340,0,0,0,Low
Dum Dum,1,455,3,1,North,Freehold,Resale,Ready to Move,15,3297,0,0,0,Low
Khardaha,2,672,11,2,East,Freehold,Resale,Ready to Move,43,4897,0,0,0,Low
Barasat,2,876,4,2,Unknown,Unknown,Resale,Ready to Move,31.6,3607,1,1,1,Low
Garia,3,1575,8,3,South - East,Freehold,New Property,Ready to Move,160,10159,0,0,0,Mid
Kolkata,2,591,1,2,East,Freehold,Resale,Ready to Move,55,6486,0,1,0,Low
Manton,2,875,1,2,North - East,Freehold,Resale,Ready to Move,55,6286,0,1,0,Low
Bandhaghat,2,769,4,2,Unknown,Unknown,Resale,Ready to Move,32,4161.24837451235,0,0,0,Low
Anwar shah Road,2,990,11,2,North,Freehold,Resale,Ready to Move,135,11739,0,1,0,Low
Madurdaha,3,1200,2,2,Unknown,Freehold,Resale,Ready to Move,120,8054,0,0,0,Low
Barasat,2,1037,1,2,Unknown,Unknown,Resale,Ready to Move,35,3375,0,0,0,Low
East Topsia,3,1550,11,2,Unknown,Power Of Attorney,Resale,Ready to Move,125,8065,1,0,0,Low
Harish Mukherjee Road,3,1100,2,3,East,Freehold,New Property,Ready to Move,180,11250,1,1,0,Mid
Tangra,2,550,3,2,West,Freehold,Resale,Ready to Move,28.5,5181.81818181818,0,1,0,Low
Rajarhat,2,723,5,2,Unknown,Freehold,Resale,Unknown,120,10283,1,1,1,Low
Ghoshpara Patipukur,1,600,5,1,South - East,Freehold,Resale,Ready to Move,27,4390,1,0,0,Low
Rajarhat,3,1300,3,2,North,Freehold,New Property,Ready to Move,50,3846,1,0,0,Low
New Alipore,2,875,4,1,East,Freehold,Resale,Ready to Move,50,5714,0,1,0,Low
Joka,3,903,10,2,South - East,Freehold,Resale,Ready to Move,68,6028,0,1,0,Low
Santoshpur,1,310,1,2,South,Co-operative Society,Resale,Ready to Move,25,7246,0,1,0,Low
Rajarhat,3,952,1,2,East,Freehold,Resale,Ready to Move,122,12815,1,1,1,Low
Sodepur,2,820,8,2,East,Co-operative Society,Resale,Ready to Move,55,5319,1,0,1,Low
Howrah,3,1000,4,2,Unknown,Unknown,Resale,Ready to Move,75,6250,0,0,0,Low
Camac Street,3,1700,7,3,Unknown,Freehold,Resale,Ready to Move,475,16379,1,1,0,High
Sector 5 Salt Lake City,3,1020,7,2,Unknown,Unknown,Resale,Ready to Move,150,10101,0,0,0,Low
Baranagar,2,500,2,2,Unknown,Unknown,Resale,Ready to Move,32,4678,0,0,0,Low
Khardaha,3,896,3,2,South - East,Freehold,Resale,Ready to Move,47.5,4241,0,1,0,Low
Konnagar,2,825,2,2,Unknown,Unknown,Resale,Ready to Move,38,4606,0,0,0,Low
Rajarhat,3,1400,1,3,South - East,Freehold,Resale,Unknown,135,9643,1,0,0,Low
Action Area 1A,3,891,3,2,North - West,Freehold,Resale,Ready to Move,87,7817,0,1,0,Low
Rajarhat,3,2113,9,4,South -West,Freehold,Resale,Ready to Move,175,8282,0,1,0,Mid
Survey Park,2,915,2,2,Unknown,Freehold,Resale,Ready to Move,80,8743,0,1,0,Low
Rajarhat,2,615,4,1,Unknown,Unknown,Resale,Ready to Move,30,4878,0,0,1,Low
Bangur Avenue,2,625,1,2,South -West,Freehold,Resale,Ready to Move,40,5333,0,0,0,Low
New Garia,2,850,1,2,East,Freehold,Resale,Ready to Move,42,4941,1,0,0,Low
Paschim Putiary,3,1000,0,2,Unknown,Unknown,Resale,Ready to Move,50,5000,0,0,0,Low
Baghajat,2,1000,2,2,Unknown,Unknown,Resale,Ready to Move,40,4000,0,0,0,Low
Mahishabathan Road,2,815,16,2,South - East,Freehold,Resale,Ready to Move,135,13261,0,1,0,Low
Joka,2,818,6,2,South - East,Leasehold,Resale,Ready to Move,65,7945,0,0,0,Low
New Town,3,920,2,2,South - East,Co-operative Society,Resale,Ready to Move,90,7826,0,1,0,Low
Kolkata,3,1065,1,2,South,Unknown,Resale,Ready to Move,41,3849.76525821596,0,1,0,Low
Prafulla Kanan,2,800,1,2,East,Freehold,Resale,Ready to Move,60,5831,1,0,0,Low
Durga Nagar,2,425,2,1,East,Freehold,Resale,Ready to Move,17,3238,0,1,0,Low
Rajarhat,2,801,11,2,North - East,Power Of Attorney,Resale,Ready to Move,75,9363,1,1,1,Low
Narayantala,2,850,2,2,North,Freehold,Resale,Ready to Move,49,4455,0,1,0,Low
New Barrakpur,2,605,0,1,North - East,Freehold,Resale,Ready to Move,26,3611,0,1,0,Low
Madhyamgram,2,809,1,2,South - East,Freehold,Resale,Ready to Move,60,6303,1,1,0,Low
Noapara Sukanta Pally,3,2157,4,3,South,Freehold,Resale,Ready to Move,130,6027,1,0,0,Low
Joka,3,1215,6,2,South - East,Power Of Attorney,Resale,Ready to Move,78,6420,1,0,0,Low
Action Area 1B,3,850,1,2,South - East,Freehold,Resale,Ready to Move,90,7200,1,1,0,Low
Baguiati,2,780,1,1,South - East,Freehold,Resale,Ready to Move,36,3692,1,1,0,Low
Maniktala Ma,4,1750,2,3,South,Freehold,Resale,Unknown,195,11143,0,1,0,Mid
Rab,1,200,0,1,Unknown,Unknown,Resale,Ready to Move,8,4000,0,0,0,Low
Mahatma Gandhi Road,3,1321,1,3,South -West,Freehold,Resale,Ready to Move,90,6813,0,0,0,Low
Rab,2,869,3,1,Unknown,Freehold,Resale,Ready to Move,36,4143,0,0,0,Low
Konnagar,3,1933,1,2,North,Freehold,Resale,Ready to Move,70,3621,0,1,0,Low
Ward Number 113,2,950,0,1,East,Co-operative Society,Resale,Ready to Move,40,4211,0,0,0,Low
Bhadrakali,3,1090,11,2,South - East,Freehold,Resale,Ready to Move,85,6080,1,0,1,Low
Usha Park,2,605,3,2,North,Unknown,Resale,Ready to Move,32,3951,0,0,0,Low
Dhakuria,4,1500,3,2,Unknown,Unknown,Resale,Ready to Move,100,6667,0,0,0,Low
Kolkata,2,960,1,2,South - East,Freehold,Resale,Ready to Move,52,5417,1,1,0,Low
Nagerbazar,2,800,1,2,North - West,Freehold,Resale,Ready to Move,32,4000,0,0,0,Low
Howrah,4,1200,7,3,South,Leasehold,Resale,Ready to Move,115,9583,0,0,0,Low
Rajarhat,2,702,4,2,South - East,Freehold,Resale,Ready to Move,42,4789,0,1,0,Low
Kolkata,3,1120,4,3,Unknown,Unknown,Resale,Ready to Move,155,13839,0,0,0,Mid
Kasba,3,1375,3,2,Unknown,Freehold,Resale,Ready to Move,110,7333,0,1,0,Low
Sakher Bazar,2,500,1,2,Unknown,Freehold,Resale,Ready to Move,25,3497,0,1,0,Low
Behala,3,928,2,2,South - East,Freehold,Resale,Ready to Move,65,5390,0,1,0,Low
Nayabad,3,1000,2,2,North,Freehold,Resale,Ready to Move,55,4400,0,1,0,Low
Basanta Lal Saha Road,4,1774,10,4,South - East,Freehold,New Property,Ready to Move,300,13630,1,0,0,Mid
Dum Dum Cantonment,3,650,4,2,South,Freehold,New Property,Ready to Move,33,4024,1,1,0,Low
New Garia,2,707,3,2,South,Co-operative Society,Resale,Ready to Move,36,4072,1,1,0,Low
Dover Lane,3,1140,4,2,South - East,Freehold,Resale,Ready to Move,140,10972,0,1,0,Low
Grand Trunk Road,2,1450,3,2,South - East,Freehold,Resale,Ready to Move,50,3030,0,1,0,Low
Sanjib Pally,3,900,3,2,South - East,Freehold,New Property,Ready to Move,71.5,5500,1,0,0,Low
Diamond Harbour Road,2,656,2,2,East,Freehold,Resale,Ready to Move,40,4878,0,1,0,Low
Rajarhat,2,620,2,2,Unknown,Unknown,Resale,Ready to Move,42,4651,0,0,0,Low
Behala Chowrasta,3,1100,4,2,South - East,Co-operative Society,Resale,Ready to Move,71.4,5101,1,1,0,Low
Joka,2,891,12,2,South - East,Freehold,Resale,Ready to Move,56,6285,1,1,0,Low
Rajarhat,2,701,9,2,South - East,Freehold,Resale,Ready to Move,85,12126,1,1,1,Low
Baguiati,2,700,2,1,South - East,Unknown,Resale,Ready to Move,35,4375,0,1,0,Low
Action Area 3,3,900,3,2,North - East,Unknown,Resale,Ready to Move,50,5556,0,0,0,Low
Camac Street,2,1000,1,2,South - East,Freehold,Resale,Ready to Move,119,9528,0,1,0,Low
Math Bagan,2,570,9,2,East,Freehold,Resale,Ready to Move,40,4938,0,0,1,Low
New Alipore,4,1913,2,4,North,Freehold,Resale,Ready to Move,365,12807,1,0,1,Mid
Paddapukur,2,880,4,2,South - East,Freehold,Resale,Ready to Move,120,10909,0,1,0,Low
Rajarhat,3,744,4,2,South - East,Freehold,Resale,Ready to Move,45,4839,1,1,0,Low
Kasba,2,932,2,2,South - East,Freehold,Resale,Ready to Move,60,5469,0,0,0,Low
Joka,2,800,2,2,South,Freehold,Resale,Ready to Move,55,4614,0,1,0,Low
Action Area 1,3,1006,5,3,South - East,Freehold,Resale,Ready to Move,135,8637,0,0,0,Low
Ramgarh Garia,3,1050,3,2,Unknown,Unknown,Resale,Ready to Move,40,3810,0,0,0,Low
South Dumdum,3,1200,4,2,South - East,Freehold,Resale,Ready to Move,65,4571,1,1,0,Low
Kanchrapara,2,760,3,2,South,Freehold,Resale,Ready to Move,22,2895,0,0,0,Low
Unique Park Behala,2,900,1,2,South,Freehold,Resale,Ready to Move,27,2919,1,1,0,Low
Baghajat,3,891,2,2,South -West,Freehold,Resale,Ready to Move,59,5301,0,1,0,Low
Nagerbazar,4,1305,5,2,South - East,Freehold,Resale,Ready to Move,70,4667,0,1,0,Low
Fartabad,2,580,1,2,North - West,Freehold,Resale,Ready to Move,32,4414,0,1,0,Low
Rajpur Sonarpur,3,1392,3,2,South -West,Freehold,Resale,Ready to Move,75,5357,1,0,0,Low
Patuli,3,863,11,2,South - East,Unknown,Resale,Unknown,125,9936,1,1,1,Low
Ballygunge Park Road,3,2555,1,3,South - East,Freehold,Resale,Ready to Move,700,21916,0,1,0,High
Haridevpur,3,1318,3,2,South -West,Freehold,Resale,Ready to Move,45,2903,1,1,0,Low
Sonarpur,3,1498,,2,Unknown,Freehold,Resale,Unknown,65,4339,0,0,0,Low
Konnagar,2,560,1,1,South - East,Co-operative Society,Resale,Ready to Move,16,2353,1,0,0,Low
Rathtala,2,778,3,2,South - East,Freehold,Resale,Ready to Move,46,5913,1,1,0,Low
Uttarpara Ch,2,827,13,2,South,Freehold,Resale,Ready to Move,41,4958,0,0,1,Low
Kanchrapara M,3,850,4,2,Unknown,Unknown,Resale,Ready to Move,42,3944,0,0,0,Low
Rajendra Prasad Colony,2,700,1,2,South - East,Freehold,Resale,Ready to Move,65,7222,0,1,0,Low
Buroshibtalla,3,2100,1,3,Unknown,Unknown,Resale,Ready to Move,110,5238,0,0,0,Low
Kolkata,2,820,4,2,Unknown,Co-operative Society,Resale,Ready to Move,110,13415,0,1,0,Low
Arab,2,760,2,1,East,Freehold,Resale,Ready to Move,22,2444,0,1,0,Low
Paikpara,3,860,4,2,North,Freehold,Resale,Ready to Move,95,7956,0,1,0,Low
Daspara Mukundapur,3,1200,4,3,South - East,Freehold,Resale,Ready to Move,50,3333,0,1,0,Low
New Town,3,1525,27,3,North,Freehold,Resale,Ready to Move,141,9246,1,0,1,Low
Eastern Metropolitan Bypass,2,564,22,2,South - East,Freehold,Resale,Ready to Move,95,11072,0,1,0,Low
New Town,3,1500,1,4,Unknown,Unknown,Resale,Ready to Move,210,10000,0,0,0,Mid
Garia,2,800,4,2,South - East,Freehold,Resale,Ready to Move,69,6900,1,1,0,Low
Muchipara,3,1200,3,3,South - East,Freehold,Resale,Ready to Move,120,7273,1,1,0,Low
Uttarpara Ch,2,827,3,2,Unknown,Unknown,Resale,Ready to Move,48,5804,0,0,0,Low
Ramchandrapur Narendrapur,3,1084,4,2,East,Unknown,Resale,Ready to Move,45,4151,0,1,0,Low
Narendrapur Rajpur Sonarpur,2,1036,6,1,Unknown,Unknown,Resale,Ready to Move,58,5598,0,0,0,Low
Murari Pukur,3,1008,3,2,South - East,Freehold,Resale,Ready to Move,160,12698,0,1,0,Mid
Survey Park,2,680,2,2,South - East,Freehold,Resale,Ready to Move,52,5991,0,1,0,Low
Santoshpur,3,1255,4,2,Unknown,Unknown,Resale,Ready to Move,86,6853,0,0,0,Low
Kolkata,2,750,1,2,Unknown,Unknown,Resale,Ready to Move,22,2933.33333333333,0,0,0,Low
Patuli,2,582,15,2,Unknown,Freehold,Resale,Ready to Move,95,10983,1,0,0,Low
Dhali Para Paschim Putiary,3,1059,1,2,East,Unknown,Resale,Ready to Move,56.5,5335,1,0,1,Low
Action Area 2B,4,1700,9,4,West,Freehold,Resale,Ready to Move,145,6502,1,0,0,Low
Rajarhat Ma,2,788,2,2,South - East,Freehold,Resale,Ready to Move,64,6497,1,0,0,Low
Bandel Ch,2,920,1,2,Unknown,Unknown,Resale,Ready to Move,22,2095,0,0,0,Low
Dhakuria,2,1200,3,2,North,Freehold,Resale,Ready to Move,49,3062,0,1,0,Low
Purbachal Haltu,2,750,2,2,South,Freehold,Resale,Ready to Move,55,6111,0,0,0,Low
Maheshtala,2,464,5,2,Unknown,Unknown,Resale,Ready to Move,32,4494,0,0,0,Low
Alipore,3,2400,1,3,Unknown,Unknown,Resale,Ready to Move,300,12500,0,0,0,Mid
Shibrampur,3,1110,1,2,East,Unknown,Resale,Ready to Move,55,4955,0,0,0,Low
Chandannagar,2,800,3,2,South -West,Freehold,Resale,Ready to Move,47,5222,0,1,0,Low
Action Area 2,4,3110,7,4,South - East,Freehold,Resale,Ready to Move,250,8065,1,1,0,Mid
Barrackpore,2,680,3,2,South - East,Freehold,Resale,Ready to Move,29.5,3933,1,1,0,Low
Sarangpur,3,1150,15,3,South - East,Freehold,Resale,Ready to Move,140,8600,1,0,0,Low
Rajarhat,2,654,2,2,South -West,Freehold,Resale,Ready to Move,63.5,7763,1,0,0,Low
Maheshtala,3,1765,5,3,Unknown,Unknown,Resale,Ready to Move,120,6000,0,0,0,Low
Kalikapur Haltu,2,550,1,2,Unknown,Unknown,Resale,Ready to Move,77,10969,0,0,0,Low
Kolkata,2,498,3,1,Unknown,Unknown,Resale,Ready to Move,19.5,3916,0,0,0,Low
Block A Lake Town,4,1700,2,3,South - East,Freehold,Resale,Ready to Move,140,6880,0,1,0,Low
Jessore Road,2,767,8,2,South - East,Freehold,Resale,Ready to Move,88,7652,1,0,1,Low
New Garia,2,710,4,2,Unknown,Unknown,Resale,Ready to Move,45,6338,0,0,0,Low
Garia Bazaar,2,625,1,1,South - East,Freehold,Resale,Ready to Move,28,4000,0,0,0,Low
Kolkata,3,1680,5,3,Unknown,Unknown,Resale,Ready to Move,82,4881,0,0,0,Low
Garia,3,850,0,2,South,Freehold,Resale,Ready to Move,40.5,3695,0,1,0,Low
Tollygunge,3,975,4,2,North,Freehold,Resale,Ready to Move,60,5106,1,0,0,Low
Garia,3,1200,4,2,East,Power Of Attorney,Resale,Ready to Move,50,4167,0,1,0,Low
Subhasgram,2,712,1,2,Unknown,Unknown,Resale,Ready to Move,28,3279,0,0,0,Low
Sukant Nagar Sector 4 Salt Lake,2,450,1,1,South - East,Freehold,Resale,Ready to Move,20,3636,0,1,0,Low
Santoshpur,3,910,3,2,South - East,Co-operative Society,New Property,Ready to Move,45,3750,0,1,0,Low
Kolkata,3,1200,2,2,East,Freehold,Resale,Ready to Move,86.7,7225,0,1,0,Low
Baranagar,2,637,2,1,South - East,Freehold,Resale,Ready to Move,33,4400,1,1,0,Low
Maheshtala,3,1524,3,3,South,Freehold,Resale,Ready to Move,60,3937,1,0,0,Low
Kolkata,2,832,3,2,South - East,Freehold,Resale,Ready to Move,19,2283.65384615385,0,0,1,Low
Purbachal Haltu,3,1000,0,2,South - East,Freehold,Resale,Ready to Move,55,5000,1,0,0,Low
Dhakuria,2,770,1,1,Unknown,Unknown,Resale,Ready to Move,35,4545,0,0,0,Low
Howrah,4,1346,2,4,North,Freehold,Resale,Ready to Move,38,2823,0,1,0,Low
Rajarhat,3,1564,23,3,South - East,Freehold,Resale,Ready to Move,150,7673,0,1,0,Low
New Town,2,784,2,2,North - East,Freehold,Resale,Ready to Move,140,12727,1,0,0,Low
Tollygunge,2,689,2,2,East,Freehold,Resale,Ready to Move,29,3580,0,1,0,Low
Desh Bandhu Nagar Baguiati,2,850,4,1,East,Freehold,Resale,Ready to Move,50.5,4810,1,0,0,Low
Howrah,2,900,20,2,North - West,Freehold,Resale,Ready to Move,50,4401,1,1,1,Low
Kasba,3,1150,4,2,Unknown,Co-operative Society,Resale,Unknown,75,5725,0,1,0,Low
Bansdroni,2,780,3,2,Unknown,Unknown,Resale,Ready to Move,32,4103,0,0,0,Low
Narendrapur Rajpur Sonarpur,3,832,3,2,South -West,Freehold,Resale,Ready to Move,47,4234,0,1,0,Low
Behala,2,848,11,2,South - East,Co-operative Society,Resale,Ready to Move,57,5377,1,1,0,Low
Belur Math,2,1008,2,2,North,Co-operative Society,Resale,Ready to Move,42,4167,0,1,0,Low
Khardaha,2,652,4,2,South - East,Freehold,Resale,Ready to Move,26.3,3232,0,1,0,Low
Joka,2,537,2,2,North,Freehold,Resale,Ready to Move,52,5836,1,0,0,Low
Howrah,2,885,4,2,South - East,Unknown,Resale,Ready to Move,35,3889,0,1,0,Low
Serampore,1,650,26,1,Unknown,Freehold,Resale,Ready to Move,40,6153.84615384615,1,0,0,Low
Nagerbazar,2,640,4,2,South,Freehold,Resale,Ready to Move,38,4750,0,1,0,Low
Eastern Metropolitan Bypass,3,1260,5,2,South,Freehold,Resale,Ready to Move,135,7492,1,1,0,Low
Chiriamore,3,1500,8,3,South,Freehold,New Property,Ready to Move,150,9375,1,0,0,Low
Mukundapur,3,1455,3,2,South - East,Freehold,Resale,Ready to Move,65,4467,0,1,0,Low
Naktala,2,550,1,1,Unknown,Unknown,Resale,Ready to Move,30,5454.54545454545,0,0,0,Low
Bablatala,2,943,3,2,East,Freehold,Resale,Ready to Move,34,3568,0,1,0,Low
Bansdroni,3,1550,3,2,Unknown,Unknown,Resale,Ready to Move,45,2903,0,0,0,Low
Kolkata,2,932,3,2,Unknown,Unknown,Resale,Ready to Move,42,4506,0,0,0,Low
Uttarpara Ch,1,469,11,2,Unknown,Freehold,Resale,Ready to Move,22,4691,1,0,0,Low
Rajarhat Ma,3,692,21,2,North,Freehold,New Property,Unknown,100,9756,1,0,0,Low
Rajarhat,2,873,4,2,Unknown,Unknown,Resale,Ready to Move,65,7446,0,0,0,Low
Sonarpur Station Road,2,684,2,2,South,Freehold,Resale,Ready to Move,60,6000,0,1,0,Low
Airport Area,2,940,2,2,North - East,Freehold,Resale,Ready to Move,54,4596,0,1,0,Low
Rajarhat,2,502,8,2,North - East,Freehold,Resale,Ready to Move,50,6510,1,0,0,Low
Jessore Road,2,1303,3,2,East,Freehold,Resale,Ready to Move,138,10591,0,1,0,Low
Madhyamgram,2,976,1,2,Unknown,Unknown,Resale,Ready to Move,25,2561,0,0,0,Low
Jawaharlal Nehru Road,3,1953,14,3,West,Co-operative Society,Resale,Ready to Move,395,14107,1,1,0,Mid
Garia,2,872,3,2,South - East,Freehold,Resale,Ready to Move,50,5734,0,0,0,Low
Rajarhat,3,800,1,2,East,Freehold,Resale,Ready to Move,55,4645,1,0,0,Low
SIP Deshapriya Park Area,3,2000,2,3,Unknown,Unknown,Resale,Ready to Move,275,13750,0,0,0,Mid
Action Area 3,2,480,2,2,North - East,Freehold,Resale,Ready to Move,35,5147,1,1,1,Low
Alipore,2,1600,14,2,North,Freehold,Resale,Ready to Move,180,11250,1,0,0,Mid
Rajarhat,3,878,1,2,South - East,Freehold,Resale,Ready to Move,120,10929,1,1,1,Low
Mahamaya Tala,3,1200,3,2,South - East,Freehold,Resale,Ready to Move,98,5886,1,1,0,Low
Kabardanga,3,1240,1,2,South - East,Freehold,Resale,Ready to Move,60,3750,0,0,0,Low
Garia,2,580,1,1,South,Freehold,Resale,Ready to Move,32,5517,0,1,0,Low
New Town,2,695,1,2,South - East,Freehold,Resale,Ready to Move,53,5550,0,0,0,Low
Park Street,2,1180,5,2,North - East,Freehold,Resale,Ready to Move,238,15256,1,0,0,Mid
Barasat,4,1500,10,3,South - East,Freehold,Resale,Ready to Move,95,4755,1,1,1,Low
Rajarhat,4,2330,2,4,South - East,Freehold,Resale,Ready to Move,110,4231,1,1,0,Low
Ultadanga,2,960,2,2,South -West,Freehold,Resale,Ready to Move,105,8750,0,1,0,Low
North Purbachal,2,660,1,2,Unknown,Freehold,Resale,Ready to Move,55,5851,0,0,0,Low
Agarpara,2,705,1,1,East,Freehold,Resale,Ready to Move,24,2963,0,1,0,Low
Lake Gardens,3,1280,3,3,South - East,Freehold,Resale,Ready to Move,125,7812,0,1,0,Low
Rajarhat,1,400,0,1,Unknown,Unknown,Resale,Ready to Move,13.5,2700,0,0,0,Low
Beleghata,2,1600,2,2,North,Freehold,Resale,Ready to Move,135,8438,0,0,0,Low
Dum Dum Cantonment,2,680,2,2,West,Freehold,Resale,Ready to Move,42,4941,1,1,0,Low
Block O New Alipore,2,872,0,2,South - East,Freehold,Resale,Ready to Move,130,12671,0,1,0,Low
Joka,2,595,13,2,South,Freehold,Resale,Ready to Move,52,5836,1,1,0,Low
Tegharia Baguiati,3,950,4,2,South - East,Freehold,New Property,Ready to Move,65,5692,1,0,0,Low
Haridevpur,2,550,2,1,Unknown,Freehold,Resale,Ready to Move,30,4286,0,1,0,Low
Behala,3,1100,2,2,Unknown,Unknown,Resale,Ready to Move,69,5308,0,0,0,Low
Ballygunge,3,1170,4,2,South,Freehold,Resale,Ready to Move,200,13633,0,1,0,Mid
Gariahat,2,980,4,2,North,Freehold,Resale,Ready to Move,125,10593,0,1,0,Low
Haltu,3,1050,2,3,Unknown,Unknown,Resale,Ready to Move,45,4285.71428571429,0,0,0,Low
Mukundapur,2,1040,1,2,South,Freehold,Resale,Ready to Move,68,6538,0,1,0,Low
Narendrapur Rajpur Sonarpur,2,605,2,2,South - East,Freehold,Resale,Ready to Move,32,4233,0,1,0,Low
EM Bypass Connector,2,668,9,2,South - East,Freehold,Resale,Ready to Move,50,5981,0,1,0,Low
Madhyamgram,3,1300,2,2,South,Freehold,Resale,Ready to Move,62,4133,1,1,0,Low
