Address,BHK,Super Area(SQFT),Floor,Bathroom,Facing,Ownership,Transaction,Status,Price(Lakh),Price per SQFT,Garden/Park,Main Road,Pool,Price Level
New Town,3,1000,7,2,Unknown,Unknown,Resale,Ready to Move,130,8966,0,0,0,Low
Narkel Bagan,2,850,,2,Unknown,Unknown,Resale,Unknown,26.9,2562,0,0,0,Low
Kalyan Nagar Rahara,2,780,,2,Unknown,Unknown,Resale,Unknown,24.3,2558,0,0,0,Low
Tollygunge,3,1420,5,3,North,Freehold,New Property,Ready to Move,190,9995,0,1,0,Mid
Barrackpore Trunk Road,2,850,10,2,South -West,Freehold,Resale,Ready to Move,82,7489,1,0,0,Low
Shrirampur,3,780,,2,Unknown,Unknown,Resale,Unknown,22.6,2559,0,0,0,Low
Sodepur Paschim Putiary,2,637,1,2,South -West,Freehold,Resale,Ready to Move,28,3733,0,1,0,Low
Jagannathpur,2,698,,2,Unknown,Unknown,Resale,Unknown,17.9,2564,0,0,0,Low
Rajpur,2,910,3,2,Unknown,Freehold,Resale,Ready to Move,36,3956,0,1,0,Low
Survey Park,2,913,2,2,Unknown,Freehold,New Property,Ready to Move,57.5,6298,0,0,0,Low
Howrah,2,829,6,2,Unknown,Unknown,Resale,Ready to Move,29,3498,0,0,0,Low
Shyambazar Hati Bagan,4,1350,4,2,South - East,Freehold,Resale,Ready to Move,134,8764,1,1,0,Low
Mom,3,1800,3,3,Unknown,Unknown,Resale,Ready to Move,250,13889,0,0,0,Mid
Nandi Bagan Salkia,3,640,2,1,Unknown,Freehold,Resale,Ready to Move,22,3333,0,0,0,Low
Daksh,4,1018,5,3,South - East,Freehold,Resale,Ready to Move,110,6753,1,1,1,Low
Jorabagan,2,760,2,1,Unknown,Unknown,Resale,Ready to Move,32,4211,0,0,0,Low
Titagarh,2,614,2,2,East,Freehold,Resale,Ready to Move,35,4342,0,1,0,Low
